Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1365768,Prime Time Nutrition 583,7171 Bowling Dr,Suite 900,Sacramento,CA,95823,    ,SACRAMENTO,Grocery Store,38.49749,-121.45532,,,-13520344.376534095,4649944.816368785
1366294,Sac Valley Truck Stop,7891 Stockton Blvd,,Sacramento,CA,95823,4307,SACRAMENTO,Convenience Store,38.471455,-121.41678,,,-13516054.123358922,4646242.3524277015
1366497,Mack Rd Loop 52,6490 Mack Rd,,Sacramento,CA,95823,4618,SACRAMENTO,Convenience Store,38.473846,-121.42762,,,-13517260.826639121,4646582.323213925
1366594,Midtown Market,2828 Q St,,Sacramento,CA,95816,6945,SACRAMENTO,Convenience Store,38.565567,-121.47169,,,-13522166.67659838,4659632.445628117
1367616,Dulceria Socami Llc,7323 Home Leisure Plz,Ste 4,Sacramento,CA,95823,2636,SACRAMENTO,Convenience Store,38.491741,-121.43987,,,-13518624.490401339,4649127.130130856
1368331,Dulceria Socami Llc,2330 Northgate Blvd,Ste 130,Sacramento,CA,95833,2584,SACRAMENTO,Grocery Store,38.609062,-121.47475,,,-13522507.31424021,4665826.763229829
1370125,7 Eleven 2365-24604c 24604C,9210 Kiefer Blvd,,Sacramento,CA,95826,5157,SACRAMENTO,Convenience Store,38.546921,-121.35831,,,-13509545.272732241,4656978.133576216
1373479,7 Eleven 39572C,1300 Fulton Ave,,Sacramento,CA,95825,3604,SACRAMENTO,Convenience Store,38.589012,-121.40109,,,-13514307.520548375,4662970.886833696
1374221,Tony's Market,4011 W Nichols Ave,,Sacramento,CA,95820,2864,SACRAMENTO,Convenience Store,38.538097,-121.45931,,,-13520788.54130236,4655722.251575629
1374392,Chevron,4000 S Land Park Dr,,Sacramento,CA,95822,1124,SACRAMENTO,Convenience Store,38.537506,-121.50415,,,-13525780.107269531,4655638.142590485
1375434,Watan Halal Market,6808 Fruitridge Rd,,Sacramento,CA,95820,5932,SACRAMENTO,Grocery Store,38.524857,-121.42375,,,-13516830.020209752,4653838.1482350305
1378413,La Delicia,2690 Northgate Blvd,,Sacramento,CA,95833,2227,SACRAMENTO,Grocery Store,38.613701,-121.47522,,,-13522559.634400882,4666487.645509816
1379112,Stop N Save,4709 Florin Rd,Ste 2B,Sacramento,CA,95823,2534,SACRAMENTO,Convenience Store,38.496548,-121.45058,,,-13519816.722147735,4649810.830260966
1385183,Liquor King,5620 Franklin Blvd,,Sacramento,CA,95824,1110,SACRAMENTO,Convenience Store,38.524445,-121.47211,,,-13522213.430784514,4653779.524599051
1385303,Mi Tierra Mercado Y Carniceria,8484 Florin Rd,Ste 70,Sacramento,CA,95828,2525,SACRAMENTO,Grocery Store,38.495403,-121.39123,,,-13513209.910369152,4649647.972648173
1387161,Belal Market,2633 El Camino Ave,,Sacramento,CA,95821,5901,SACRAMENTO,Grocery Store,38.610962,-121.39989,,,-13514173.937159425,4666097.436297925
1389544,Quik Stop Market  9135,5764 Antelope Rd,,Sacramento,CA,95842,3909,SACRAMENTO,Convenience Store,38.704948,-121.32674,,,-13506030.916407896,4679495.5967720905
1389733,Carniceria Y Panaderia Del Valle,7137 Walerga Rd,Ste 1,Sacramento,CA,95842,4620,SACRAMENTO,Grocery Store,38.695923,-121.36401,,,-13510179.79382976,4678208.275679467
1389940,7-Eleven Store 41228H,8344 Power Inn Rd,,Sacramento,CA,95624,3456,SACRAMENTO,Convenience Store,38.454674,-121.40572,,,-13514822.929790748,4643856.617800996
1390344,Nick's Market 1,1700 V St,,Sacramento,CA,95818,1613,SACRAMENTO,Convenience Store,38.564316,-121.48942,,,-13524140.371170145,4659454.340609048
1392228,Truxel Shell- Tooley Oil Co. 55,3721 Truxel Rd,,Sacramento,CA,95834,3605,SACRAMENTO,Convenience Store,38.637272,-121.5048,,,-13525852.464938546,4669846.283176121
1392707,7 Eleven 39155b 39155B,5550 S Watt Ave,,Sacramento,CA,95826,6405,SACRAMENTO,Convenience Store,38.525589,-121.37091,,,-13510947.898316234,4653942.305620017
1393071,Natomas Food And Liqour,4000 E Commerce Way,Ste 100,Sacramento,CA,95834,9703,SACRAMENTO,Convenience Store,38.642258,-121.5191,,,-13527444.33365689,4670556.881065106
1393143,7 Eleven 38424a 38424A,802 J St,,Sacramento,CA,95814,2503,SACRAMENTO,Convenience Store,38.580795,-121.49599,,,-13524871.740224658,4661800.706441772
1394319,Fiji Mart,3280 Northgate Blvd,,Sacramento,CA,95833,1319,SACRAMENTO,Grocery Store,38.626587,-121.47474,,,-13522506.201045299,4668323.638061191
1396169,Four Seasons Market,5111 College Oak Dr,Ste A,Sacramento,CA,95841,4634,SACRAMENTO,Grocery Store,38.659817,-121.35119,,,-13508752.677957792,4673059.759412632
1396405,Liquor Video Center,3315 Northgate Blvd,Ste 12,Sacramento,CA,95834,1638,SACRAMENTO,Convenience Store,38.628395,-121.47688,,,-13522744.4247556,4668581.267629687
1397181,DS&D Petroleum,2701 Orchard Ln,,Sacramento,CA,95833,9751,SACRAMENTO,Convenience Store,38.613518,-121.53085,,,-13528752.33767371,4666461.574112275
1398469,B Brothers Mini Mart,4847 Amber Ln,,Sacramento,CA,95841,4603,SACRAMENTO,Convenience Store,38.658005,-121.35089,,,-13508719.282110555,4672801.446636002
1399457,Speed Bird #1 1,4901 47th Ave,,Sacramento,CA,95824,    ,SACRAMENTO,Convenience Store,38.510731,-121.44853,,,-13519588.517191611,4651828.3458143845
1400422,Reyes Meat Market,9531 Folsom Blvd,,Sacramento,CA,95827,1201,SACRAMENTO,Convenience Store,38.570778,-121.34118,,,-13507638.36985495,4660374.369677952
1402379,RALEY'S 415,4690 Freeport Blvd,,Sacramento,CA,95822,2068,SACRAMENTO,Supermarket,38.533401,-121.49648,,,-13524926.286775146,4655053.952886872
1402629,Kargill Arco Florin,8121 Florin Rd,,Sacramento,CA,95828,2408,SACRAMENTO,Convenience Store,38.496456,-121.40841,,,-13515122.379220983,4649797.74466282
1402633,Kargill Arco Elder Creek,8024 Elder Creek Rd,,Sacramento,CA,95824,4430,SACRAMENTO,Convenience Store,38.510082,-121.40958,,,-13515252.62302521,4651736.01763041
1403523,Arco Ampm 82538,3800 47th Ave,,Sacramento,CA,95824,3629,SACRAMENTO,Convenience Store,38.509918,-121.4641,,,-13521321.76166326,4651712.686757238
1403576,DOLLARTREE 8464,8368 Elk Grove Florin Rd,,Sacramento,CA,95829,9228,SACRAMENTO,Other,38.453369,-121.37185,,,-13511052.53863758,4643671.110775097
1403907,King International Mart,1537 Fulton Ave,,Sacramento,CA,95825,5110,SACRAMENTO,Supermarket,38.593567,-121.40196,,,-13514404.368505366,4663619.620647457
1404628,Shinwari Market & Restaurant,3323 Watt Ave,,Sacramento,CA,95821,3609,SACRAMENTO,Grocery Store,38.626778,-121.38385,,,-13512388.372527098,4668350.85415231
1405059,Costco Wholesale 893,3360 El Camino Ave,,Sacramento,CA,95821,6308,SACRAMENTO,Super Store,38.607697,-121.38602,,,-13512629.93582212,4665632.310423727
